protein1,protein2,Label
61383.ENSLCNP00005005060,61383.ENSLCNP00005018220,1
13146.ENSMUNP00000011410,8167.A0A484CH00,0
37293.ENSANAP00000024573,61853.ENSNLEP00000018935,0
30464.ENSNPEP00000015302,30464.ENSNPEP00000015466,1
7238.B4HK72,7238.B4I6N6,1
425635.ENSCPGP00000000360,425635.ENSCPGP00000015849,1
13249.R4G3Z9,13249.T1I587,1
7998.ENSIPUP00000004049,7998.ENSIPUP00000017368,1
8078.ENSFHEP00000010994,8078.ENSFHEP00000016341,1
286419.ENSCAFP00020002974,286419.ENSCAFP00020007918,1
64176.ENSPMRP00000017432,64176.ENSPMRP00000027424,1
161767.ENSAPEP00000003380,161767.ENSAPEP00000012649,1
39432.ENSSBOP00000001088,39432.ENSSBOP00000030989,1
64791.A0A151WLD7,64791.A0A151X525,1
441894.ENSSCUP00000025932,47969.ENSOABP00000035754,0
48698.ENSPFOP00000019071,7217.B3LZ60,0
7370.A0A1I8M4R9,7370.A0A1I8MMS7,1
194338.ENSACUP00000016986,53326.A0A016T1S2,0
225164.V4A706,225164.V4A7G7,1
47308.ENSNMLP00000001684,47308.ENSNMLP00000028936,1
137246.A0A401SH20,137246.A0A401TD97,1
61383.ENSLCNP00005011988,69004.A0A182Q4M7,0
7070.D6WLJ6,7070.D6WUZ4,1
94237.ENSMMOP00000009781,94237.ENSMMOP00000021386,1
2489341.ENSSHBP00005007819,310752.A0A383Z510,0
53326.A0A016V3I0,53326.A0A016W1N7,1
127582.A0A2Y9E5G9,56723.ENSLBEP00000027496,0
456900.A0A151IC10,456900.A0A195CGH4,1
69293.ENSGACP00000022200,7460.A0A088A4A4,0
441366.ENSGWIP00000007635,441366.ENSGWIP00000014246,1
7227.FBpp0071892,7227.FBpp0083625,1
29073.ENSUMAP00000011446,29073.ENSUMAP00000024332,1
307959.ENSSRHP00000016191,6238.Q60SM4,0
6198.A0A075A327,69004.A0A182Q235,0
308060.ENSARWP00000013824,308060.ENSARWP00000014789,1
7102.A0A2A4JNP2,93934.ENSCJPP00005011401,0
37347.ENSTBEP00000014260,7868.ENSCMIP00000008990,0
37548.ENSCAPP00000016461,456900.A0A151IKD3,0
188379.A0A091K4Q2,7217.B3M3R0,0
40217.ENSJHYP00000013829,40217.ENSJHYP00000017006,1
7029.C4WRN0,7102.A0A2A4JJB0,0
103372.F4WXZ1,61621.ENSRBIP00000022139,0
118797.A0A340WDW4,118797.A0A340XYL5,1
299321.ENSDCDP00000002956,299321.ENSDCDP00000004859,1
407821.A0A087TV90,407821.A0A087UMX8,1
30464.ENSNPEP00000013803,64791.A0A151WWI8,0
586833.ENSMMDP00005013353,93934.ENSCJPP00005010281,0
268475.A0A0V1HXC6,8005.ENSEEEP00000021789,0
135651.G0MRH1,7070.D2A359,0
1661398.A0A482WAP6,30464.ENSNPEP00000020122,0
308060.ENSARWP00000013717,310752.A0A383Z5V0,0
30521.ENSBGRP00000005033,48699.ENSPLAP00000026079,0
441894.ENSSCUP00000007557,441894.ENSSCUP00000010037,1
7029.C4WTL3,7950.ENSCHAP00000029713,0
7868.ENSCMIP00000027808,7868.ENSCMIP00000042776,1
29139.ENSVURP00010007418,61621.ENSRBIP00000023845,0
62324.A0A182R8H0,62324.A0A1I8JUR8,1
39432.ENSSBOP00000004638,39432.ENSSBOP00000036724,1
72004.ENSBMUP00000017190,72004.ENSBMUP00000035500,1
194338.ENSACUP00000005177,7998.ENSIPUP00000030272,0
6669.E9GXS1,6669.E9HAN4,1
244447.ENSCSEP00000004537,61221.ENSVKKP00000017109,0
52670.A0A2I4BDJ7,597456.A0A0L7QNQ7,0
103372.F4WZ33,104452.A0A0L7KQZ8,0
241587.ENSACOP00000005791,241587.ENSACOP00000018690,1
103695.ENSPVIP00000015075,6336.A0A0V0RLN8,0
40217.ENSJHYP00000022785,7395.A0A1A9ULZ1,0
127582.A0A2Y9D7G2,127582.A0A2Y9DJ12,1
13146.ENSMUNP00000000620,80966.ENSAPOP00000031130,0
334426.A0A0R3PAY5,37347.ENSTBEP00000014730,0
6313.A0A0K0CUX0,6313.A0A0K0CZW0,1
8128.ENSONIP00000004137,8128.ENSONIP00000035779,1
286419.ENSCAFP00020006019,286419.ENSCAFP00020006156,1
