protein1,protein2,Label
7868.ENSCMIP00000000629,7868.ENSCMIP00000004712,1
37653.A0A0L8FQL3,48269.A0A183MM62,0
400682.A0A1X7VNR4,6265.A0A0B2VHM8,0
7574.A0A1S3JHF7,7574.A0A1S3K949,1
7764.ENSEBUP00000014065,7764.ENSEBUP00000019388,1
6183.A0A3Q0KT63,6183.A0A3Q0KVM0,1
225164.V3ZQG8,225164.V4B4E6,1
7764.ENSEBUP00000008901,7764.ENSEBUP00000012633,1
282301.A0A267EGB0,282301.A0A267G3K9,1
13347.A0A444TFX0,13347.A0A444TIS5,1
407821.A0A087TER6,407821.A0A087UJC7,1
70667.A0A183SA08,70667.A0A183TRW0,1
126957.T1J123,126957.T1JAA0,1
299467.A0A443S6R9,299467.A0A443SLY6,1
520822.A0A195BIT6,6184.A0A430QCP7,0
211598.ENSANIP00000012568,282301.A0A267F8M9,0
1503980.A0A261BQN6,1503980.A0A261C0H6,1
1965070.A0A3S3NX94,282301.A0A267H1F4,0
48709.A0A1D2MYK3,48709.A0A1D2MYQ9,1
947166.A0A1D1UW76,947166.A0A1D1V815,1
299467.A0A443S9T8,299467.A0A443SSR6,1
282301.A0A267E2H7,32264.T1KDT5,0
318479.A0A0N4UFL3,318479.A0A3P7SY00,1
282301.A0A267EJ56,282301.A0A267GBJ4,1
407821.A0A087TQJ4,48709.A0A1D2MUF8,0
400682.A0A1X7U4P1,400682.A0A1X7UG41,1
105785.A0A2J7R1R9,7240.B4Q474,0
1661398.A0A482VNA1,1661398.A0A482WBL3,1
282301.A0A267FI35,30019.A0A0M4EZS7,0
121224.E0VD99,121224.E0VQ64,1
299467.A0A443RTR1,299467.A0A443SA80,1
282301.A0A267DF91,282301.A0A267FUS9,1
13249.T1HIG1,441894.ENSSCUP00000011940,0
151549.A0A4C1V241,7918.ENSLOCP00000019037,0
7029.J9K1U8,7029.J9K6H3,1
32473.ENSXCOP00000010646,46835.A0A504Z8C0,0
121845.A0A1S4E6E1,194338.ENSACUP00000016019,0
1965070.A0A3S3NW37,70667.A0A3P7CXC5,0
407821.A0A087UTJ6,7574.A0A1S3JUW9,0
2018661.A0A2A2KTH9,2018661.A0A2A2L7Z7,1
136037.A0A067R9X1,7719.ENSCINP00000033418,0
6412.T1EDE2,6945.B7PMS7,0
1611254.A0A2G5V4Q2,1611254.A0A2G5V668,1
7764.ENSEBUP00000000177,7764.ENSEBUP00000016986,1
947166.A0A1D1V6M8,947166.A0A1D1W2T0,1
282301.A0A267FPN9,990121.A0A0V0ZEB4,0
13347.A0A444SCU5,6188.A0A183QG68,0
6412.T1F3W6,7240.B4QXR1,0
105785.A0A2J7RE30,6184.A0A430QPC1,0
400727.A0A2T7NBE6,7070.D6WXD7,0
7232.A0A484BWT6,7764.ENSEBUP00000016403,0
13249.T1HNQ7,6238.A8XRH3,0
2018661.A0A2A2KMJ8,2018661.A0A2A2L5G2,1
6290.A0A0N4WY91,6313.A0A0K0DH53,0
31234.E3LXZ0,31234.E3MI50,1
6526.A0A2C9L9N3,70415.A0A5S6Q2K7,0
6337.A0A0V0XRE4,6337.A0A0V0YD12,1
6832.A0A553NEJ7,6832.A0A553PLW4,1
307972.A0A2G8K984,307972.A0A2G8KLN9,1
334426.A0A0R3PN56,7240.B4NUR9,0
48709.A0A1D2MJU3,48709.A0A1D2NLR3,1
121845.A0A3Q0IUG1,6832.A0A553NF30,0
400682.A0A1X7VV59,77166.U4U929,0
195883.A0A482X4C0,8010.ENSELUP00000009445,0
13347.A0A444T1M7,13347.A0A444TSG8,1
2018661.A0A2A2L5G2,283909.R7V2Y0,0
31234.E3LYY9,407821.A0A087V0P7,0
6198.A0A074ZV44,6198.A0A075AJ09,1
105785.A0A2J7PEZ1,121845.A0A1S4ENC6,0
407821.A0A087SXN5,7425.K7IQR0,0
6337.A0A0V0XLG8,6337.A0A0V0XRE4,1
6184.A0A430Q653,6184.A0A430QKQ3,1
6689.A0A3R7PX47,6689.A0A423T236,1
6205.A0A0R3WPB1,6205.A0A0R3WV95,1
2018661.A0A2A2KGQ7,2018661.A0A2A2L5G2,1
7260.A0A0Q9X1G8,7260.B4MJ95,1
282301.A0A267DWX5,282301.A0A267G8H7,1
135651.G0MRB8,30538.ENSVPAP00000010337,0
307972.A0A2G8KIF3,6313.A0A0K0D3T7,0
6184.A0A430QGX2,64176.ENSPMRP00000034919,0
144197.ENSSPAP00000003521,7238.B4IET4,0
1503980.A0A261A7D8,400682.A0A1X7UBG7,0
6290.A0A0N4VU71,64144.ENSATEP00000016785,0
29172.A0A0D8X956,29172.A0A0D8Y810,1
70667.A0A183T5N9,77166.U4UE16,0
283909.R7U5B5,283909.R7VII2,1
7574.A0A1S3HSN7,7574.A0A1S3J5R5,1
7574.A0A1S3IJN1,7574.A0A1S3JSU5,1
6832.A0A553NBA7,7244.B4LZR3,0
299467.A0A443S1B1,45351.A7RVR8,0
7238.B4I0K2,93934.ENSCJPP00005007031,0
6945.B7P3S7,6945.B7Q0H2,1
947166.A0A1D1UG76,947166.A0A1D1VD05,1
282301.A0A267EAG0,282301.A0A267EQ18,1
37653.A0A0L8H6X4,37653.A0A0L8HQR5,1
282301.A0A267FE45,7238.B4HLS6,0
32264.T1JVQ3,6832.A0A553PC08,0
7240.B4NTX0,7868.ENSCMIP00000028545,0
7574.A0A1S3IT76,7574.A0A1S3K3R5,1
6973.A0A2P8Y486,6973.A0A2P8Z246,1
6689.A0A423SHP9,6689.A0A423TMI3,1
7719.ENSCINP00000001301,7719.ENSCINP00000005809,1
