protein1,protein2,Label
8175.ENSSAUP00010001455,8175.ENSSAUP00010040335,1
441894.ENSSCUP00000024106,7757.ENSPMAP00000010525,0
1611254.A0A2G5VJ73,7897.ENSLACP00000003556,0
7091.H9J3J1,7091.Q1HQ85,1
7222.B4JDB4,7222.B4JNZ0,1
80966.ENSAPOP00000009646,80966.ENSAPOP00000012661,1
6669.E9GD14,6669.E9H7U8,1
407821.A0A087T229,407821.A0A087USP0,1
104452.A0A0L7KT39,104452.A0A0L7LFZ7,1
77166.N6TR39,77166.U4UFZ4,1
102285.A0A0R3T1I8,102285.A0A0R3TRC9,1
46731.A0A3M6UFW5,46731.A0A3M6V4U8,1
53468.A0A0R3U1W1,53468.A0A0R3UKP9,1
8030.ENSSSAP00000077404,8030.ENSSSAP00000097052,1
6945.B7P3Z6,7998.ENSIPUP00000032893,0
1503980.A0A261AFT2,168631.A0A437BFD9,0
407821.A0A087T074,407821.A0A087TAA0,1
45351.A7SNV3,53326.A0A016T261,0
48269.A0A183LTH4,48269.A0A183LYA2,1
375764.ENSSORP00005004324,375764.ENSSORP00005021034,1
7897.ENSLACP00000006296,7897.ENSLACP00000016980,1
102285.A0A0R3T7R8,8032.ENSSTUP00000017231,0
7091.H9J5W9,7091.H9JLT3,1
7897.ENSLACP00000005206,7897.ENSLACP00000014942,1
195883.A0A482WHF9,30522.A0A4W2E0U2,0
6573.A0A210Q0I6,6573.A0A210QKC3,1
121224.E0VWC5,334426.A0A158PIQ1,0
7757.ENSPMAP00000003229,7757.ENSPMAP00000003635,1
2018661.A0A2A2LQ46,244447.ENSCSEP00000019683,0
6182.A0A4Z2CP13,6182.C1L793,1
6973.A0A2P8YE73,6973.A0A2P8YT67,1
7234.B4GC21,7234.B4H1V7,1
6526.A0A2C9KIF2,80972.ENSAOCP00000007722,0
37032.ENSSSUP00005023560,7460.A0A087ZNL4,0
48709.A0A1D2MN59,48709.A0A1D2NH72,1
113540.ENSSFOP00015035479,7897.ENSLACP00000020753,0
30732.ENSOMEP00000022150,62324.A0A182RAQ7,0
300112.A0A4S2KBM4,7757.ENSPMAP00000004852,0
104421.E2AEX3,13735.ENSPSIP00000018947,0
407821.A0A087SZ44,407821.A0A087TX27,1
6184.A0A430QLH5,7266.A0A3B0J0H7,0
137246.A0A401SZC8,7868.ENSCMIP00000006856,0
64791.A0A151WYF6,64791.A0A151XK77,1
52670.A0A2I4CFK5,52670.A0A2I4DCB9,1
37653.A0A0L8HQU3,37653.A0A0L8HYA8,1
37293.ENSANAP00000022320,61221.ENSVKKP00000015941,0
400727.A0A2T7NRC1,7868.ENSCMIP00000011042,0
103695.ENSPVIP00000034396,151549.A0A4C1UNU7,0
103827.A0A0N5CWR2,8078.ENSFHEP00000023492,0
37653.A0A0L8IFY1,69293.ENSGACP00000006518,0
32264.T1K8G6,77166.J3JUL5,0
105785.A0A2J7Q6E0,407821.A0A087TIQ0,0
102285.A0A0R3T021,102285.A0A0R3T0D6,1
1503980.A0A261AH29,6238.A8WVI8,0
46245.D2SXZ3,46245.Q29EW3,1
7091.H9JW87,7238.B4HUF2,0
7070.D2A3E2,7070.D6WDN3,1
8083.ENSXMAP00000020457,8083.ENSXMAP00000020463,1
37653.A0A0L8HQU3,37653.A0A0L8HU17,1
143630.A0A402EVX6,1661398.A0A482W4T8,0
