protein1,protein2,Label
6188.A0A183QPD8,6188.A0A183R9P3,1
1561998.A0A1I7SXG0,8187.ENSLCAP00010031542,0
46835.A0A504ZAU6,7240.A0ANN4,0
6205.A0A0R3WUL8,6205.A0A0R3X2P2,1
225164.V4AB18,225164.V4ANA0,1
425635.ENSCPGP00000010893,425635.ENSCPGP00000013252,1
283909.R7U252,283909.R7V2A5,1
6293.A0A1I8EJ82,6293.A0A1I8EMD4,1
283909.R7UXI7,283909.R7UZV4,1
2018661.A0A2A2JJT4,2018661.A0A2A2K228,1
7234.B4GN17,7234.B4H2B6,1
13146.ENSMUNP00000002872,13146.ENSMUNP00000018032,1
56216.A0A1A6FY93,56216.A0A1A6GXN5,1
31234.E3LJW8,31234.E3MI50,1
30019.A0A0M5J7Q5,46731.A0A3M6UZS7,0
6210.W6U7L0,7375.A0A0L0CBP7,0
7764.ENSEBUP00000018555,7764.ENSEBUP00000026424,1
32473.ENSXCOP00000017161,6184.A0A430QEB9,0
64176.ENSPMRP00000009841,64176.ENSPMRP00000034196,1
1661398.A0A482VN59,1661398.A0A482VQH7,1
46731.A0A3M6UNW1,46731.A0A3M6UTW3,1
28377.ENSACAP00000003678,7375.A0A0L0CI97,0
6265.A0A0B2V6E3,6265.A0A0B2W7D5,1
7227.FBpp0079565,7227.FBpp0304887,1
36166.T1GPT1,8153.ENSHBUP00000029395,0
151549.A0A4C1TFN7,151549.A0A4C1X8L5,1
6183.G4VMI7,947166.A0A1D1UQE3,0
1561998.A0A1I7TPP6,1561998.A0A1I7UC49,1
104452.A0A0L7L4G3,13347.A0A444TLW9,0
62062.ENSHHUP00000012507,62062.ENSHHUP00000029656,1
6198.A0A074ZLQ4,6198.A0A074ZP75,1
6186.A0A183K086,6186.A0A183KFE7,1
118797.A0A340WNL9,6239.F21H12.1.1,0
31234.E3NQX7,586833.ENSMMDP00005048509,0
318479.A0A0N4UEK7,318479.A0A3P7SUI5,1
13146.ENSMUNP00000018772,7238.B4I0K2,0
53468.A0A0R3U7V0,7238.B4ID17,0
104452.A0A0L7LMI4,61622.ENSRROP00000029020,0
597456.A0A0L7RFA0,7234.B4GK71,0
7232.A0A484BAB3,7232.A0A484C0W9,1
47969.ENSOABP00000054103,7375.A0A0L0CI97,0
6205.A0A0R3X7T8,6290.A0A0N4WFW3,0
6185.A0A094ZUH7,6185.A0A095A3D5,1
7070.D2A364,7070.D2A4N8,1
6185.A0A095AWP3,6185.A0A095C8C0,1
195883.A0A482WQF2,61621.ENSRBIP00000039180,0
1841481.ENSSLDP00000019104,6265.A0A0B2W4V4,0
36166.T1H3G6,70667.A0A183SAI9,0
103827.A0A158RD44,31033.ENSTRUP00000038228,0
45351.A7RTR4,6239.Y73B6A.4.1,0
283909.R7U9H6,62062.ENSHHUP00000028306,0
151549.A0A4C1TVZ1,93934.ENSCJPP00005007778,0
8030.ENSSSAP00000000012,8030.ENSSSAP00000003546,1
2489341.ENSSHBP00005025201,7574.A0A1S3KB58,0
333673.A0A3M0IIK0,333673.A0A3M0J2P5,1
46835.A0A504Z9K7,7868.ENSCMIP00000041949,0
70415.A0A5S6Q287,70415.A0A5S6QII1,1
6832.A0A553NS83,6832.A0A553P5N2,1
137246.A0A401RFQ9,137246.A0A401RR70,1
28743.ENSCVAP00000001089,400682.A0A1X7V120,0
7375.A0A0L0C958,7375.A0A0L0CPX6,1
1503980.A0A261C5J0,31246.A0A183NRU2,0
225164.V4AGV2,299321.ENSDCDP00000061672,0
104421.E2AIM0,37653.A0A0L8FZJ6,0
194338.ENSACUP00000009591,194338.ENSACUP00000013204,1
6182.B3GUW2,6945.B7QFR0,0
30066.A0A182US58,6526.A0A2C9K7R3,0
6205.A0A0R3X9Y9,6205.A0A0R3XBJ9,1
201502.A0A1A9YGN4,407821.A0A087TNT3,0
6265.A0A0B2UNK8,8153.ENSHBUP00000015447,0
441366.ENSGWIP00000008457,441366.ENSGWIP00000032245,1
6832.A0A553NFD4,6832.A0A553P4C9,1
282301.A0A267FWC0,282301.A0A267GA35,1
104452.A0A0L7L2L3,104452.A0A0L7LEU6,1
1611254.A0A2G5U2C4,1611254.A0A2G5UK85,1
7398.A0A1A9Z3Q8,7398.A0A1A9ZBW7,1
64176.ENSPMRP00000007801,64176.ENSPMRP00000025681,1
1661398.A0A482W8P3,8010.ENSELUP00000036782,0
56216.A0A1A6H7K4,7176.B0XCG1,0
135651.G0MKC2,13616.ENSMODP00000039188,0
136037.A0A067RHE4,586833.ENSMMDP00005039985,0
37653.A0A0L8IDD2,62062.ENSHHUP00000017010,0
37032.ENSSSUP00005035647,8010.ENSELUP00000013008,0
48709.A0A1D2MLQ1,48709.A0A1D2NCK3,1
1965070.A0A3S4QN89,64791.A0A151WYP5,0
6412.T1EFC7,6412.T1FCE5,1
48709.A0A1D2MVI1,48709.A0A1D2N2K0,1
6973.A0A2P8XPW0,6973.A0A2P8Z246,1
1611254.A0A2G5TEC7,31033.ENSTRUP00000000950,0
102285.A0A0R3TRS4,13249.T1HR27,0
28377.ENSACAP00000011973,7574.A0A1S3J9V9,0
2018661.A0A2A2J9X9,2018661.A0A2A2JP19,1
6216.A0A0R3SCH5,6216.A0A0R3SG10,1
143630.A0A402FNT9,143630.A0A402G3A1,1
56723.ENSLBEP00000037014,56723.ENSLBEP00000038065,1
282301.A0A267DDJ7,7260.B4MQY6,0
300112.A0A4S2J9Q3,7238.B4I9W9,0
113540.ENSSFOP00015058756,31234.E3LXW5,0
93934.ENSCJPP00005001937,93934.ENSCJPP00005002436,1
7227.FBpp0074709,7227.FBpp0289298,1
121224.E0V972,121224.E0VV03,1
7398.A0A1A9ZIN8,7398.A0A1A9ZZH5,1
6183.A0A3Q0KCV2,6183.A0A3Q0KVE2,1
1965070.A0A443QGW8,30521.ENSBGRP00000019233,0
7266.A0A3B0JKV5,7266.A0A3B0JMK6,1
13249.R4FKT4,13249.T1HVG5,1
103695.ENSPVIP00000000487,103695.ENSPVIP00000007104,1
7764.ENSEBUP00000000827,7764.ENSEBUP00000007556,1
6945.B7P5C4,7238.B4I5A5,0
135651.G0PMH3,135651.G0PNN1,1
1661398.A0A482VHY9,1661398.A0A482VVC6,1
7719.ENSCINP00000014206,7719.ENSCINP00000017779,1
7719.ENSCINP00000030802,7868.ENSCMIP00000004712,0
38654.A0A3Q0GPL3,38654.A0A3Q0GVD1,1
36166.T1GDB8,36166.T1GGD1,1
7070.D6WUZ8,8030.ENSSSAP00000087730,0
6290.A0A0N4X3Z0,6290.A0A158QQ22,1
121845.A0A1S3D183,121845.A0A1S3D2N1,1
8030.ENSSSAP00000090543,8030.ENSSSAP00000117371,1
30538.ENSVPAP00000010337,30538.ENSVPAP00000011029,1
1676925.ENSPKIP00000005825,1676925.ENSPKIP00000011290,1
6573.A0A210PE95,6573.A0A210QAJ5,1
7029.J9KAC0,94237.ENSMMOP00000019818,0
30538.ENSVPAP00000000146,30538.ENSVPAP00000003245,1
283909.R7UXV2,283909.R7V4A1,1
334426.A0A0R3PQT7,48269.A0A183MGT6,0
54126.A0A4X3PAD2,54126.H3EW15,1
12957.A0A158NG24,7764.ENSEBUP00000003381,0
113540.ENSSFOP00015013229,7918.ENSLOCP00000007998,0
29088.A0A2Y9HD87,7217.B3MMI2,0
61221.ENSVKKP00000000906,7238.B4HLF6,0
7240.B4QW26,79684.ENSMOCP00000026403,0
2489341.ENSSHBP00005003388,2489341.ENSSHBP00005022168,1
13347.A0A444SJW2,13347.A0A444SWV6,1
45351.A7RJH6,56216.A0A1A6HIH0,0
333673.A0A3M0KJM0,400682.A0A1X7V1K1,0
6265.A0A0B2UR88,8153.ENSHBUP00000000049,0
37653.A0A0L8GFN3,6334.A0A0V1ARK5,0
96440.ENSSMRP00000000622,96440.ENSSMRP00000018948,1
1611254.A0A2G5U530,1611254.A0A2G5VU53,1
1561998.A0A1I7UMF4,407821.A0A087UII1,0
48709.A0A1D2N2G7,7574.A0A1S3H531,0
37653.A0A0L8I8A3,7425.K7JGV2,0
37032.ENSSSUP00005022370,7217.A0A0P8YB71,0
7232.A0A484BSN8,7868.ENSCMIP00000000371,0
400727.A0A2T7P6L4,53326.A0A016UUG7,0
29088.A0A2Y9I6F1,6184.A0A430PXB9,0
7238.B4HXK9,7240.B4Q4S6,0
102285.A0A0R3TT79,8081.ENSPREP00000008631,0
1503980.A0A261BK72,310752.A0A383ZBT4,0
7238.B4IL48,7238.B4INF3,1
1661398.A0A482VHY9,7868.ENSCMIP00000002027,0
282301.A0A267E0K6,6205.A0A0R3WXZ5,0
400682.A0A1X7UK80,40217.ENSJHYP00000020203,0
29172.A0A0D8XWF8,29172.A0A0D8Y8I6,1
6183.A0A146MHS2,6183.A0A3Q0KVF8,1
151549.A0A4C1X5K3,225164.V4AD67,0
6526.A0A2C9L3D4,7222.B4IYW9,0
1965070.A0A3S3PCC7,48699.ENSPLAP00000018946,0
8030.ENSSSAP00000012228,8030.ENSSSAP00000077413,1
425635.ENSCPGP00000021219,425635.ENSCPGP00000027903,1
30608.ENSMICP00000036977,7240.B4QTG6,0
407821.A0A087SUY4,407821.A0A087SWJ1,1
7375.A0A0L0BNS9,7375.A0A0L0C3Q5,1
947166.A0A1D1V8C1,947166.A0A1D1VLC6,1
126957.T1JLS3,48709.A0A1D2NKU8,0
94128.A0A2A3EA06,94128.A0A2A3EGV2,1
103827.A0A0N5D796,103827.A0A3P7LQT1,1
400727.A0A2T7NX75,94128.A0A2A3E567,0
46731.A0A3M6TAI1,46731.A0A3M6TNT9,1
300112.A0A4S2KSM1,6337.A0A0V0YG88,0
318479.A0A0N4UGX3,318479.A0A3P7SUI5,1
2587831.ENSTMTP00000012393,7764.ENSEBUP00000024119,0
61383.ENSLCNP00005018864,6973.A0A2P8YP82,0
6277.A0A498SF82,6277.A0A498SGI2,1
1965070.A0A3S4RD51,37293.ENSANAP00000041580,0
7460.A0A087ZQB2,8030.ENSSSAP00000030173,0
118797.A0A340WPU1,282301.A0A267E4J5,0
6282.A0A044U2H0,6282.A0A044UE26,1
7070.D2A364,7070.D6WDU3,1
282301.A0A267GBV4,7070.D6WEI1,0
407821.A0A087UPH4,7955.ENSDARP00000007628,0
143630.A0A402F2U3,143630.A0A402FF12,1
299467.A0A443SJG1,299467.A0A443SM97,1
168631.A0A3S2LEE1,48709.A0A1D2NCF4,0
6832.A0A553PJL5,7102.A0A2A4K7Z4,0
48709.A0A1D2MP57,8030.ENSSSAP00000116490,0
1676925.ENSPKIP00000037378,37032.ENSSSUP00005033738,0
194338.ENSACUP00000005225,194338.ENSACUP00000018122,1
7029.J9JXH8,7029.J9K612,1
151549.A0A4C1VC79,151549.A0A4C1ZBZ5,1
121845.A0A1S4EI60,2018661.A0A2A2KUK1,0
118797.A0A340X7G0,1611254.A0A2G5VDJ7,0
77166.U4UPF5,8128.ENSONIP00000004178,0
113540.ENSSFOP00015005907,113540.ENSSFOP00015054216,1
93934.ENSCJPP00005001614,93934.ENSCJPP00005013898,1
121224.E0VJ33,121224.E0VT95,1
210632.ENSPRNP00000010869,36166.T1GH46,0
32473.ENSXCOP00000020876,400727.A0A2T7NGH6,0
6265.A0A0B2VFX7,7209.A0A1I7VKE5,0
31234.E3N084,7238.B4I0B1,0
