protein1,protein2,Label
6573.A0A210PEF2,6573.A0A210R233,1
178035.A0A154P3M1,2018661.A0A2A2LMU9,0
30019.A0A0M4ES87,53468.A0A0R3U165,0
7868.ENSCMIP00000008812,7868.ENSCMIP00000031837,1
105785.A0A2J7PJP5,105785.A0A2J7Q7Y7,1
7091.H9J6H4,7091.H9JBH1,1
126957.T1J5W7,126957.T1J7T5,1
407821.A0A087U7L3,407821.A0A087UX21,1
121845.A0A3Q0IW75,121845.Q0PXW2,1
13347.A0A444SDR2,13347.A0A444TS19,1
1965070.A0A443R3T3,1965070.A0A443R696,1
121224.E0VJB0,121224.E0VK62,1
6973.A0A2P8XSK7,6973.A0A2P8YAY9,1
32264.T1JW68,32264.T1KBS5,1
103827.A0A0N5CRD8,7260.B4MR87,0
6211.A0A068YD96,8078.ENSFHEP00000004528,0
52670.A0A2I4DD48,52670.A0A2I4DD59,1
7029.J9K2P3,7234.B4GG89,0
6973.A0A2P8Y8K5,6973.A0A2P8ZMN8,1
53468.A0A0R3U5U2,53468.A0A0R3UM12,1
6945.B7Q5G0,6945.B7QJN6,1
194338.ENSACUP00000000801,2018661.A0A2A2LKK5,0
282301.A0A1I8GPN0,282301.A0A267EMM8,1
244447.ENSCSEP00000013702,244447.ENSCSEP00000024556,1
30538.ENSVPAP00000002866,56723.ENSLBEP00000033086,0
53468.A0A0R3U7G4,53468.A0A0R3U7L2,1
7227.FBpp0084739,7868.ENSCMIP00000038762,0
310752.A0A384B6E8,310752.A0A452CJZ5,1
30419.A0A091V4L2,31246.A0A183NP58,0
307972.A0A2G8KR58,307972.A0A2G8KS47,1
225164.V4AUD4,225164.V4CSP7,1
7240.B2ZI99,7240.B4QY30,1
299321.ENSDCDP00000017009,6945.B7PWD3,0
2018661.A0A2A2JV84,947166.A0A1D1V9L2,0
299467.A0A443SJR4,299467.A0A443SKL3,1
151549.A0A4C1ZGH1,7574.A0A1S3KH48,0
64176.ENSPMRP00000024426,7234.B4G5D8,0
113540.ENSSFOP00015039298,80966.ENSAPOP00000016367,0
30521.ENSBGRP00000040585,8030.ENSSSAP00000113611,0
48269.A0A183LNL3,48269.A0A183MPH3,1
6239.K08E7.7a.1,70415.A0A5S6QE91,0
2489341.ENSSHBP00005014725,30521.ENSBGRP00000023973,0
7029.C4WU36,7029.J9JZA9,1
299467.A0A443SA16,299467.A0A443SKL5,1
143630.A0A402F135,143630.A0A402FM02,1
31234.E3MNK3,6412.T1FNI5,0
407821.A0A087UFX3,6216.A0A0R3SV17,0
48709.A0A1D2ND46,6216.A0A0R3SPA2,0
7222.B4J5I7,7574.A0A1S3J5Z1,0
299321.ENSDCDP00000024048,407821.A0A087TIT1,0
610380.E2BWN8,7227.FBpp0087297,0
7091.H9ISJ2,7739.C3Y7Y4,0
178035.A0A154PBJ7,178035.A0A154PNB5,1
1503980.A0A261CB15,7266.A0A3B0K5A4,0
53468.A0A0R3U7L2,53468.A0A158QTU6,1
6239.B0286.4a.2,7370.A0A1I8MEH3,0
168631.A0A437B5J1,168631.A0A437BFI4,1
96440.ENSSMRP00000000629,96440.ENSSMRP00000013401,1
241587.ENSACOP00000014614,241587.ENSACOP00000026001,1
37003.ENSKMAP00000007596,407821.A0A087TE70,0
53468.A0A0R3UEB9,53468.A0A0R3UG98,1
8005.ENSEEEP00000009464,8010.ENSELUP00000000052,0
241587.ENSACOP00000009982,400682.A0A1X7TPN8,0
1503980.A0A261A3C6,7217.B3MDS6,0
6832.A0A553NB28,6832.A0A553NEW1,1
13347.A0A444TV57,36166.T1GBE7,0
225164.V4AXB5,7227.FBpp0080701,0
7998.ENSIPUP00000013267,7998.ENSIPUP00000028245,1
6280.A0A0N4TBL1,7897.ENSLACP00000020268,0
48701.ENSPMEP00000030227,7668.W4XG43,0
1676925.ENSPKIP00000017355,1676925.ENSPKIP00000027251,1
7998.ENSIPUP00000019327,7998.ENSIPUP00000023802,1
6945.B7P918,6945.B7QKK9,1
6313.A0A0K0CSN9,6313.A0A0K0DLW4,1
1661398.A0A482VGG8,1661398.A0A482VW36,1
7240.B4QDA3,7240.B4QGG6,1
7227.FBpp0082011,7227.FBpp0308623,1
282301.A0A267FUU5,56216.A0A1A6HBI8,0
53326.A0A016V9U9,7764.ENSEBUP00000015354,0
37653.A0A0L8GDH4,6832.A0A553NFT0,0
7217.B3MFG9,7266.A0A3B0JQ87,0
54126.H3EXM1,6973.A0A2P8ZJ20,0
407821.A0A087U3N5,6216.A0A0R3SEA1,0
113540.ENSSFOP00015009914,113540.ENSSFOP00015028706,1
136037.A0A067RLA7,28743.ENSCVAP00000023990,0
37653.A0A0L8FZS8,37653.A0A0L8HY60,1
7217.B3MEW7,7217.B3MJ43,1
6210.U6JDZ9,6210.W6U1S9,1
135651.G0MQX5,7260.B4MRE6,0
6832.A0A553P3Z0,77166.U4TYK5,0
1503980.A0A261B2M1,48709.A0A1D2N2C7,0
7234.B4G4H8,7234.B4H6N0,1
62062.ENSHHUP00000046622,62062.ENSHHUP00000083786,1
7232.A0A484BEL5,7232.A0A484BGZ9,1
53326.A0A016T6P0,53326.A0A016V3T8,1
6290.A0A0N4VXC5,79684.ENSMOCP00000020797,0
7244.B4LVY8,7868.ENSCMIP00000015869,0
137246.A0A401SQ92,7460.A0A088AA04,0
225164.V4A6X7,225164.V4ATZ9,1
407821.A0A087TGC8,407821.A0A087TII6,1
6573.A0A210QRX2,6573.A0A210QVY5,1
7739.C3Y9I0,7739.C3YD41,1
1503980.A0A261BMI8,1503980.A0A261CIR1,1
6184.A0A430QEG3,94128.A0A2A3EF02,0
96440.ENSSMRP00000010756,96440.ENSSMRP00000030304,1
13146.ENSMUNP00000000003,13146.ENSMUNP00000000475,1
283909.R7T503,283909.R7TGI6,1
151549.A0A4C1TSW6,151549.A0A4C1UFS4,1
77166.N6TPU2,947166.A0A1D1V998,0
283909.R7TUR3,283909.R7V511,1
400682.A0A1X7UR46,400682.A0A1X7V3D3,1
64176.ENSPMRP00000007816,64176.ENSPMRP00000020995,1
31234.E3NVT5,7998.ENSIPUP00000019706,0
48269.A0A183M5J6,48269.A0A183N7B5,1
6412.T1EFC1,6412.T1FM91,1
29073.ENSUMAP00000019723,46245.B5DKG2,0
40217.ENSJHYP00000006924,40217.ENSJHYP00000015334,1
1503980.A0A261A1K8,1503980.A0A261BST6,1
400727.A0A2T7NU86,400727.A0A2T7PGH2,1
13347.A0A444SGY0,13347.A0A444SK24,1
13347.A0A444SXN9,13347.A0A444TG84,1
64176.ENSPMRP00000023292,64176.ENSPMRP00000028813,1
29170.A0A368FEQ5,6335.A0A0V1L416,0
7764.ENSEBUP00000009764,7764.ENSEBUP00000014023,1
7240.B4QMQ5,7240.B4QTP4,1
407821.A0A087TIQ0,77166.N6U9Y6,0
7757.ENSPMAP00000000715,7757.ENSPMAP00000003350,1
6945.B7QJ79,7240.B4QFA6,0
6412.T1F2I0,7375.A0A0L0CMP8,0
103695.ENSPVIP00000023177,7897.ENSLACP00000000513,0
1676925.ENSPKIP00000025940,334426.A0A0R3PLU6,0
7244.B4MDK0,7764.ENSEBUP00000000172,0
282301.A0A1I8GPN0,282301.A0A267GAM0,1
45351.A7SI73,45351.A7T224,1
6526.A0A2C9JPR0,7091.H9ISX7,0
6182.A0A4Z2DU70,7764.ENSEBUP00000010020,0
37347.ENSTBEP00000015086,7102.A0A2A4JJS8,0
1676925.ENSPKIP00000035397,64144.ENSATEP00000025891,0
6832.A0A553NC24,6832.A0A553NDN8,1
48269.A0A183LNL3,48269.A0A183NCJ7,1
48269.A0A183MM82,6689.A0A423SS33,0
39432.ENSSBOP00000016855,7091.H9J2T6,0
136037.A0A067QTL4,7719.ENSCINP00000025779,0
168631.A0A3S2LK30,1841481.ENSSLDP00000010052,0
121224.E0VYY7,30538.ENSVPAP00000006498,0
52670.A0A2I4C8E8,7091.H9IW94,0
6290.A0A0N4WG18,7240.B4QLM9,0
6182.Q5DFC1,7918.ENSLOCP00000009806,0
127582.A0A2Y9FXI9,1611254.A0A2G5VFL4,0
32473.ENSXCOP00000024511,64176.ENSPMRP00000024238,0
37347.ENSTBEP00000009662,37347.ENSTBEP00000010231,1
30732.ENSOMEP00000006805,37001.A0A1A9WXD5,0
407821.A0A087TLH0,7260.B4MZ05,0
282301.A0A267GU42,299467.A0A443S9Z6,0
1676925.ENSPKIP00000013407,1676925.ENSPKIP00000038642,1
94237.ENSMMOP00000001388,94237.ENSMMOP00000010928,1
6290.A0A0N4W4E4,7070.D6WXF5,0
2018661.A0A2A2K881,37653.A0A0L8GQJ9,0
6184.A0A430QQF0,70667.A0A183SZ57,0
7574.A0A1S3I4I8,7574.A0A1S3IQK6,1
105785.A0A2J7R5R0,105785.A0A2J7RA20,1
1965070.A0A3S3NMX2,6211.A0A068Y6P4,0
28377.ENSACAP00000003965,28377.ENSACAP00000023434,1
7764.ENSEBUP00000003171,7764.ENSEBUP00000009764,1
105785.A0A2J7R5R0,105785.A0A2J7RQA8,1
13347.A0A444SYI6,7227.FBpp0084051,0
30019.A0A0M4F8E8,30019.A0A0M5IZ77,1
102285.A0A0R3TD70,102285.A0A0R3TMI2,1
61221.ENSVKKP00000027412,7240.B4QB99,0
6832.A0A553NEB0,6832.A0A553NF36,1
282301.A0A1I8HIN0,7739.C3YY41,0
144197.ENSSPAP00000014515,144197.ENSSPAP00000021503,1
6182.A0A4Z2D1U5,7998.ENSIPUP00000032081,0
178035.A0A154P611,7764.ENSEBUP00000010644,0
6973.A0A2P8XN05,6973.A0A2P8YAY9,1
334426.A0A0R3PGH0,407821.A0A087T2G0,0
30069.A0A182YPQ0,62062.ENSHHUP00000008642,0
37032.ENSSSUP00005024698,7719.ENSCINP00000034061,0
2018661.A0A2A2J5Q8,2018661.A0A2A2JA27,1
7739.C3XU58,7739.C3YZU4,1
318479.A0A3P7PMS2,70667.A0A0X3PVZ5,0
136037.A0A067RI71,6945.B7PSD2,0
48269.A0A183LCQ5,48269.A0A183N9P3,1
6945.B7Q825,6945.B7QL52,1
318479.A0A158Q688,8153.ENSHBUP00000013498,0
6188.A0A183QDQ3,6290.A0A0N4WN84,0
151549.A0A4C1UFS4,1561998.A0A1I7U0V7,0
6689.A0A3R7MHZ0,77166.N6UIA0,0
29172.A0A0D8Y0Z2,29172.A0A0D8Y321,1
70415.A0A5S6QIT5,70415.A0A5S6QTY4,1
282301.A0A267FA59,282301.A0A267GHU9,1
283909.R7TD77,8005.ENSEEEP00000048172,0
1561998.A0A1I7TF10,7739.C3Z4H1,0
38654.A0A3Q0FLG8,7719.ENSCINP00000013389,0
7719.ENSCINP00000028512,7719.ENSCINP00000035362,1
7574.A0A1S3IGE6,7574.A0A1S3JBS7,1
1965070.A0A3S3N9S0,1965070.A0A3S3PCT1,1
105785.A0A2J7RIJ3,7994.ENSAMXP00000016880,0
46835.A0A504YLG9,7868.ENSCMIP00000008687,0
144197.ENSSPAP00000030247,6573.A0A210QIZ5,0
47969.ENSOABP00000022537,6945.B7QNW4,0
6265.A0A0B2VC84,6265.A0A0B2VRU7,1
47969.ENSOABP00000022896,77166.U4TRC5,0
61221.ENSVKKP00000008002,6183.G4VN39,0
45351.A7RJH5,8030.ENSSSAP00000077141,0
143630.A0A402ERG4,143630.A0A402FJR1,1
137246.A0A401SQ70,137246.A0A401T1J3,1
137246.A0A401SMI6,7029.J9JR52,0
2018661.A0A2A2JAF5,61622.ENSRROP00000011814,0
13347.A0A444T9N6,13347.A0A444TE57,1
103695.ENSPVIP00000001065,121845.A0A1S4EK90,0
7764.ENSEBUP00000003428,7764.ENSEBUP00000008026,1
1676925.ENSPKIP00000014524,64176.ENSPMRP00000029506,0
48699.ENSPLAP00000021438,48699.ENSPLAP00000030875,1
56216.A0A1A6HPK6,7227.FBpp0078448,0
77166.N6TXF8,77166.U4U872,1
400727.A0A2T7P583,400727.A0A2T7P914,0
6184.A0A430Q3D4,6184.A0A430QJQ8,1
104421.E2ABX6,7998.ENSIPUP00000025094,0
375764.ENSSORP00005021029,375764.ENSSORP00005031333,1
372326.A0A1V4K0X7,372326.A0A1V4KH41,1
32264.T1JXC5,32264.T1KAG5,1
77166.U4TV31,7998.ENSIPUP00000020146,0
6182.A0A4Z2CRV2,7238.B4HFJ0,0
46245.B5DQZ7,46245.Q29A66,1
144197.ENSSPAP00000021482,1611254.A0A2G5V4S5,0
