protein1,protein2,Label
400727.A0A2T7NFY4,400727.A0A2T7NUA5,1
2018661.A0A2A2KH05,7719.ENSCINP00000026391,0
282301.A0A267FPD7,6238.A8WWJ1,0
7764.ENSEBUP00000011747,7764.ENSEBUP00000020828,1
31246.A0A183NZ62,31246.A0A183P5D3,1
46835.A0A504Y6J4,46835.A0A504Z4G0,1
70415.A0A5S6R632,70415.A0A5S6R6E8,1
282301.A0A1I8G436,282301.A0A267H2W5,1
6412.T1FND4,6412.T1G6H9,1
225164.V4AKP7,225164.V4AVC2,1
6412.T1ED29,6412.T1FQB5,1
7266.A0A3B0JQ15,7266.A0A3B0K2N4,1
6412.T1ED91,6412.T1EQG7,1
6182.A0A4Z2CUB4,6182.A0A4Z2DTD3,1
6186.A0A183KB53,6945.B7QII6,0
13616.ENSMODP00000054410,45882.A0A0V1D860,0
1661398.A0A482VBN8,1661398.A0A482WED3,1
136037.A0A067QVN4,6945.B7Q031,0
77166.J3JV10,77166.U4UEN0,1
45351.A7RVR8,45351.A7SV86,1
6973.A0A2P8Y8F5,6973.A0A2P8YNG9,1
6973.A0A2P8YEG6,7227.FBpp0079252,0
6973.A0A2P8Y5A8,6973.A0A2P8YX72,1
1965070.A0A443QIN8,1965070.A0A443R2X9,1
6335.A0A0V1KMA6,7227.FBpp0271782,0
77166.N6U9M9,77166.U4U7N1,1
6412.T1FP98,7757.ENSPMAP00000008725,0
194338.ENSACUP00000000927,194338.ENSACUP00000018122,1
28743.ENSCVAP00000025727,7070.D6WWI2,0
282301.A0A267DLC9,282301.A0A267H8N5,1
77166.N6UGD8,77166.U4UJV9,1
299467.A0A443S1B1,299467.A0A443S5K0,1
407821.A0A087UI95,7757.ENSPMAP00000002136,0
299467.A0A443SEL8,6412.T1G2L5,0
282301.A0A267ED44,282301.A0A267FP38,1
29172.A0A0D8Y810,7227.FBpp0081725,0
12957.A0A158NR84,7739.C3Z7R8,0
29172.A0A0D8YBF1,70667.A0A183SCM9,0
407821.A0A087TC57,48269.A0A183LCQ5,0
947166.A0A1D1UML4,947166.A0A1D1VCH4,1
334426.A0A0R3PL53,6832.A0A553NF25,0
283909.R7VC43,30019.A0A0M5JCK1,0
299467.A0A443SM81,299467.A0A443SMC2,1
400682.A0A1X7VB52,400682.A0A1X7VG44,1
225164.V3ZZG2,225164.V4A100,1
46245.Q29FL2,7029.X1WJD7,0
104452.A0A0L7KRT4,7232.A0A484BV76,0
37653.A0A0L8I223,6188.A0A183QWC4,0
6945.B7PKR1,7868.ENSCMIP00000012749,0
13249.T1HV18,61819.ENSACIP00000013188,0
53468.A0A0R3UCN3,6182.A0A4Z2D5V3,0
12930.A0A0Q3UQX2,6184.A0A430QI48,0
400727.A0A2T7NXU9,400727.A0A2T7P4Q5,1
32264.T1K578,7029.C4WW91,0
13249.T1HBE0,13249.T1HRI4,1
31246.A0A183PGS3,6412.T1EGA4,0
400682.A0A1X7TXX1,400682.A0A1X7VU87,1
6945.B7PDJ9,6945.B7PV64,1
6412.T1FRH2,6412.T1FXX0,1
282301.A0A1I8HZU5,48709.A0A1D2MPB3,0
8022.A0A060Y331,8022.A0A060ZPQ1,1
143630.A0A402F1M0,1611254.A0A2G5VGB9,0
31234.E3LZ71,6188.A0A183RZR5,0
8022.A0A060ZDZ5,947166.A0A1D1V0H3,0
6313.A0A0K0DA30,6313.A0A0K0DIA9,1
283909.R7T3S1,6185.A0A094ZT41,0
