protein1,protein2,Label
400727.A0A2T7PK84,62062.ENSHHUP00000053544,0
6238.A8XL31,6238.Q8MUK3,1
70667.A0A183SP26,7260.B4NBF8,0
6216.A0A0R3SSY5,6216.A0A0R3SVC8,1
6205.A0A0R3WHQ3,6205.A0A0R3WPB1,1
283909.R7U8N6,283909.R7UBG1,1
1503980.A0A261BNY9,407821.A0A087THY6,0
7764.ENSEBUP00000010796,7764.ENSEBUP00000027936,1
6945.B7Q0S6,8030.ENSSSAP00000034180,0
53326.A0A016RWW3,53326.A0A016WX86,1
104452.A0A0L7KKF6,32264.T1KV50,0
282301.A0A267E9F4,282301.A0A267FP97,0
268475.A0A0V1H4R8,7238.B4HH40,0
2015173.A0A026WIV4,407821.A0A087TDD6,0
6412.T1EFK5,6412.T1FZW3,1
113540.ENSSFOP00015017553,121845.A0A1S4EBI3,0
282301.A0A267F4T9,282301.A0A267FIJ8,1
46835.A0A504Z4J6,70415.A0A5S6QG90,0
143630.A0A402FSB5,143630.A0A402G2R6,1
282301.A0A267ERL6,7460.P01501,0
6198.A0A075AGX6,70667.A0A183TEN3,0
2018661.A0A2A2J1S6,2018661.A0A2A2J7P4,1
6973.A0A2P8XZQ9,7029.X1WP56,0
36166.T1GRI8,36166.T1H0A0,1
6205.A0A0R3WPB1,6205.A0A0R3WX02,1
102285.A0A0R3T960,7719.ENSCINP00000036537,0
7764.ENSEBUP00000000501,7764.ENSEBUP00000007341,1
48269.A0A183MN20,6188.A0A183RDU6,0
105785.A0A2J7QFN0,105785.A0A2J7QYZ3,1
7764.ENSEBUP00000004807,7764.ENSEBUP00000026686,1
31246.A0A183NZ62,31246.A0A183PPU9,1
70667.A0A183TG23,70667.A0A3P7BWL9,1
6526.A0A2C9JJ54,6526.A0A2C9M8N8,0
6205.A0A0R3WLQ0,6205.A0A0R3WPB1,1
6973.A0A2P8XQT4,6973.A0A2P8XZQ9,1
407821.A0A087THW0,407821.A0A087TIT1,1
6412.T1F5D3,6412.T1FYY3,1
6188.A0A183QV48,6188.A0A183S4M6,1
334426.A0A0R3PAM1,334426.A0A0R3PHB4,1
241587.ENSACOP00000019307,7240.B4QQA7,0
6184.A0A430Q2S8,6184.A0A430QGB0,1
947166.A0A1D1VAX9,947166.A0A1D1VZN5,1
282301.A0A267ECE1,46835.A0A504Z1I3,0
105785.A0A2J7PTV1,105785.A0A2J7R010,1
13347.A0A444SRM4,282301.A0A267FVF6,0
48709.A0A1D2MBZ1,48709.A0A1D2N2Q5,1
6412.T1FU27,6412.T1FY23,1
947166.A0A1D1VBK6,947166.A0A1D1VZN5,1
7574.A0A1S3H2M6,7574.A0A1S3JC07,1
947166.A0A1D1UUU0,947166.A0A1D1V7C9,1
103827.A0A0N5D3G6,195883.A0A482XHP4,0
178035.A0A154P6B2,947166.A0A1D1VQ84,0
45351.A7RXS8,45351.A7SQ74,1
318479.A0A0N4U4C6,53468.A0A0R3UMW1,0
407821.A0A087T706,407821.A0A087UNZ0,1
6945.B7P8N1,6945.B7Q2L2,1
400682.A0A1X7VEM4,77166.N6T055,0
7227.FBpp0086773,7227.FBpp0303688,1
1965070.A0A3S3QN45,1965070.A0A3S4QSC7,1
195883.A0A482WKW7,195883.A0A482XJ38,1
211598.ENSANIP00000015021,211598.ENSANIP00000015184,1
6832.A0A553NB87,6832.A0A553NVN0,1
282301.A0A267DWV9,282301.A0A267GF64,1
1965070.A0A3S3SMM7,283909.R7U3H9,0
77166.N6U2V5,77166.U4U7N1,1
6412.T1EII0,6412.T1FT70,1
135651.G0NR90,135651.G0NZ40,1
400727.A0A2T7NFA3,77166.U4TYA8,0
6412.T1EZ70,6412.T1FQB5,1
400727.A0A2T7NB77,400727.A0A2T7NWM8,1
6689.A0A3R7PIL7,6689.A0A3R7PWH4,1
7240.B4NUQ4,7240.B4QFH6,1
299467.A0A443SDL0,7029.C4WVH3,0
6832.A0A553NEK7,6832.A0A553PK07,1
29172.A0A0D8YA32,7757.ENSPMAP00000008450,0
29170.A0A368GVU1,6832.A0A553NR29,0
441894.ENSSCUP00000020015,7739.C3ZJE5,0
282301.A0A267EG61,282301.A0A267GBJ4,1
6186.A0A183K0N6,6186.A0A183L6D7,1
143630.A0A402EQL5,6526.A0A2C9KFZ1,0
6689.A0A3R7MF24,7102.A0A2A4JUA4,0
2018661.A0A2A2KAW6,400682.A0A1X7VN09,0
29172.A0A0D8X9C2,7222.B4JJ66,0
13347.A0A444T6M5,13347.A0A444TDW9,1
400727.A0A2T7NI33,6238.B6IIX6,0
46245.Q28Y78,6412.T1F5D3,0
6689.A0A423THY4,6689.A0A423TQ61,1
121224.E0W056,7238.B4HZM0,0
13347.A0A444STZ6,29172.A0A0D8X6I6,0
53326.A0A016UH02,53326.A0A016WLV5,1
407821.A0A087UDB3,407821.A0A087V0P7,1
375764.ENSSORP00005018365,7918.ENSLOCP00000021021,0
53468.A0A0R3U7L2,53468.A0A3P6GXD3,1
407821.A0A087TJK5,407821.A0A087UXX1,1
45351.A7RQX4,45351.A7S346,1
121224.E0VJL5,13347.A0A444SN93,0
121845.A0A3Q0JH37,7217.B3MBU2,0
947166.A0A1D1VBQ7,947166.A0A1D1VJP9,1
597456.A0A0L7R0W4,7918.ENSLOCP00000021021,0
6184.A0A430Q165,6184.A0A430Q680,1
7719.ENSCINP00000007143,7719.ENSCINP00000013797,1
307972.A0A2G8LFC8,6832.A0A553N856,0
37653.A0A0L8FW78,37653.A0A0L8HB86,1
6182.A0A4Z2DNN4,6290.A0A3P8AWB7,0
6183.A0A3Q0KVH1,6183.G4VK46,1
6205.A0A0R3WMI2,6205.A0A0R3WPB1,1
6198.A0A074ZH19,6832.A0A553NR29,0
6945.B7PSI8,6945.B7QC65,1
32264.T1JZ47,7574.A0A1S3J979,0
70667.A0A183SUH7,70667.A0A183T9X1,1
6185.A0A094ZI03,6185.A0A095B3S5,1
6973.A0A2P8XD66,6973.A0A2P8XK65,1
29172.A0A0D8XEK2,947166.A0A1D1UKV8,0
121845.A0A1S3CVE5,1561998.A0A1I7T847,0
77166.N6UG87,77166.U4UTD8,1
6832.A0A553P8F3,6832.A0A553PPX4,1
407821.A0A087UGZ5,407821.A0A087UUN0,1
7764.ENSEBUP00000020686,7764.ENSEBUP00000024650,1
6973.A0A2P8ZJH0,7168.A0A182MXV6,0
282301.A0A267FPD7,6238.A8WWJ1,0
29172.A0A0D8XPD9,29172.A0A0D8YA32,1
947166.A0A1D1UHL6,947166.A0A1D1VBQ7,1
244447.ENSCSEP00000019632,53468.A0A3P6HT01,0
48269.A0A183LAI3,48269.A0A183MEM8,1
6205.A0A0R3WPB1,6205.A0A0R3X549,1
121224.E0W0N9,407821.A0A087TDD6,0
407821.A0A087THW0,46245.Q2LZP4,0
6184.A0A430Q039,6184.A0A430QHN2,1
407821.A0A087THW0,407821.A0A087U5J5,1
104452.A0A0L7L1T0,6973.A0A2P8YAQ6,0
77166.N6UL43,77166.U4U7N1,1
7739.C3Y3B5,7739.C3Z4B2,1
6265.A0A0B2USL3,6265.A0A0B2VTS4,1
13249.R4G3N3,31234.E3N3Z0,0
104452.A0A0L7KKF6,7029.J9JN80,0
425635.ENSCPGP00000001072,425635.ENSCPGP00000002182,1
46731.A0A3M6U2K4,6184.A0A430QF67,0
77166.U4TV31,77166.U4UCB6,1
77166.U4U4D0,77166.U4ULA5,1
6973.A0A2P8XWP4,6973.A0A2P8YJK0,1
282301.A0A267EJG8,282301.A0A267GCA5,1
6689.A0A3R7M4Q7,6689.A0A423TM75,1
32264.T1KL86,6188.A0A183QQM8,0
29170.A0A368H4F7,6689.A0A423T4F2,0
211598.ENSANIP00000018002,38654.A0A1U7SDT0,0
947166.A0A1D1VZN5,947166.A0A1D1W6E3,1
1611254.A0A2G5TVI0,1611254.A0A2G5U6W4,1
13347.A0A444TV36,7240.B4QU29,0
31246.A0A183PGA0,7227.FBpp0099945,0
282301.A0A267FP97,6210.W6UV86,0
45351.A7T704,45351.A7TBP2,1
6689.A0A423TZI9,70415.A0A5S6R3M5,0
31246.A0A183PC51,31246.A0A183PGA0,1
6573.A0A210Q5M4,6573.A0A210QIG0,1
62062.ENSHHUP00000015623,6832.A0A553NEL1,0
7029.J9JLI9,7029.J9JR76,1
400727.A0A2T7P843,400727.A0A2T7PCQ3,1
13347.A0A444TVK4,37003.ENSKMAP00000005263,0
2018661.A0A2A2L0Z2,2018661.A0A2A2LS04,1
29172.A0A0D8X6N6,56216.A0A1A6GGS5,0
30521.ENSBGRP00000004290,30521.ENSBGRP00000008942,1
947166.A0A1D1UTB4,947166.A0A1D1VHB7,1
121845.A0A1S3D2R0,121845.A0A1S4EPT0,1
947166.A0A1D1VLA0,947166.A0A1D1VMI5,1
137246.A0A401SZ81,64176.ENSPMRP00000022014,0
46731.A0A3M6TXT2,46731.A0A3M6UD84,1
13347.A0A444SKD6,6573.A0A210R7K9,0
104452.A0A0L7LQB8,13249.T1IDL4,0
29170.A0A368F6Y3,6669.E9G8C4,0
268474.A0A0V1MPJ5,268474.A0A0V1N0K5,1
6205.A0A0R3WN08,6205.A0A0R3WPB1,1
2018661.A0A2A2JBI7,2018661.A0A2A2KH40,1
7070.A0A139WDC8,7176.B0WCZ2,0
307972.A0A2G8KXF9,307972.A0A2G8LNQ0,1
407821.A0A087UWA5,6238.A8XER6,0
