protein1,protein2,Label
30732.ENSOMEP00000031400,30732.ENSOMEP00000032288,1
7574.A0A1S3HHL1,7757.ENSPMAP00000008069,0
7209.A0A1I7VKG8,96440.ENSSMRP00000001970,0
308060.ENSARWP00000002137,308060.ENSARWP00000005117,1
6412.T1FM70,6412.T1G3Z4,1
8175.ENSSAUP00010040010,8175.ENSSAUP00010057616,1
40217.ENSJHYP00000017831,40217.ENSJHYP00000018183,1
7091.H9IXD5,7091.H9JU49,1
36166.T1GVR9,36166.T1H7L5,1
30538.ENSVPAP00000003955,30538.ENSVPAP00000009852,1
947166.A0A1D1V925,947166.A0A1D1VBQ7,1
30019.A0A0M4EL39,30019.A0A0M5J2E2,1
96440.ENSSMRP00000006130,96440.ENSSMRP00000010756,1
56216.A0A1A6GYW7,56216.A0A1A6H2I3,1
307959.ENSSRHP00000057364,6832.A0A553N8I3,0
105785.A0A2J7QWZ6,30019.A0A0M4EV34,0
1661398.A0A482V9W9,1661398.A0A482VBL3,1
127582.A0A2Y9RAM6,8154.ENSACLP00000001974,0
36166.T1GTJ2,36166.T1GV98,1
93934.ENSCJPP00005000986,93934.ENSCJPP00005019335,1
126957.T1IIA0,126957.T1IY86,1
12957.A0A158NIN0,7227.FBpp0072425,0
8078.ENSFHEP00000010513,8078.ENSFHEP00000011053,1
29170.A0A368GGU4,29170.A0A368GZ09,1
308060.ENSARWP00000025469,6282.A0A044U6D3,0
283909.R7UBL3,283909.R7VGL7,1
244447.ENSCSEP00000012961,7998.ENSIPUP00000009562,0
48699.ENSPLAP00000028004,48699.ENSPLAP00000031131,1
29088.A0A2Y9GBY0,47308.ENSNMLP00000001905,0
2587831.ENSTMTP00000013594,2587831.ENSTMTP00000018176,1
268474.A0A0V1N0K5,268474.A0A0V1N9D0,1
61819.ENSACIP00000016154,61819.ENSACIP00000028572,1
1965070.A0A443QII4,471704.A0A195EM12,0
30522.A0A4W2IEH6,45351.A7SV86,0
104452.A0A0L7KI72,104452.A0A0L7KU51,1
52670.A0A2I4CDP3,7260.B4NEE4,0
30538.ENSVPAP00000009337,400727.A0A2T7P8A3,0
30732.ENSOMEP00000023042,70667.A0A183SYQ1,0
30521.ENSBGRP00000039455,31033.ENSTRUP00000026845,0
6973.A0A2P8XKB8,6973.A0A2P8Y7A0,1
61622.ENSRROP00000021986,7070.A0A139WLW2,0
391180.A0A2Y9LE43,8187.ENSLCAP00010044833,0
56216.A0A1A6GF25,56216.A0A1A6HWT6,1
13249.R4G3N3,13249.T1HIP9,1
13146.ENSMUNP00000005020,13146.ENSMUNP00000013585,1
61383.ENSLCNP00005002273,61383.ENSLCNP00005007034,0
1561998.A0A1I7U878,37347.ENSTBEP00000009706,0
168631.A0A3S2LUR5,6573.A0A210Q1Q3,0
1503980.A0A261AUM4,64176.ENSPMRP00000030734,0
6198.A0A074ZA47,6205.A0A0R3X5F8,0
7719.ENSCINP00000022040,8022.A0A060ZYL0,0
7227.FBpp0074992,94827.A0A099ZQX2,0
46245.Q292X9,46245.Q299C7,1
168631.A0A437AS99,8153.ENSHBUP00000008328,0
6669.E9FT90,6669.E9H8N6,1
6183.A0A5K4FDX5,7955.ENSDARP00000109497,0
105785.A0A2J7QMQ2,105785.A0A2J7R798,1
70415.A0A5S6QPR5,70415.A0A5S6R683,1
7868.ENSCMIP00000032177,7868.ENSCMIP00000037909,1
13146.ENSMUNP00000011272,94237.ENSMMOP00000015950,0
